issue	verdict_class	severity	category	rule
282	silent-accept	S2	C1	arity/list/addressing
283	silent-accept	S2	C3	width/arrangement mismatch
284	silent-accept	S2	C1	arity/list/addressing
285	silent-accept	S2	C1	arity/list/addressing
286	silent-accept	S2	C1	arity/list/addressing
287	silent-accept	S2	C3	width/arrangement mismatch
288	silent-accept	S2	C3	width/arrangement mismatch
289	silent-accept	S2	C1	arity/list/addressing
290	silent-accept	S2	C2	register kind
291	panic-on-invalid	S3	C5	immediate range
292	silent-accept	S2	C2	register kind
293	silent-accept	S2	C1	arity/list/addressing
294	silent-accept	S2	C2	register kind
295	silent-accept	S2	C4	sp/zr operand + register-slot error
296	silent-accept	S2	C3	width/arrangement mismatch
297	silent-accept	S2	C1	arity/list/addressing
298	silent-accept	S2	C2	register kind
299	silent-accept	S2	C4	sp/zr operand + register-slot error
300	silent-accept	S2	C3	width/arrangement mismatch
301	silent-accept	S2	C2	register kind
302	silent-accept	S2	C1	arity/list/addressing
303	silent-accept	S2	C3	width/arrangement mismatch
304	silent-accept	S2	C1	arity/list/addressing
305	silent-accept	S2	C4	sp/zr operand + register-slot error
306	silent-accept	S2	C1	arity/list/addressing
307	silent-accept	S2	C2	register kind
308	silent-accept	S2	C4	sp/zr operand + register-slot error
309	silent-accept	S2	C3	width/arrangement mismatch
310	silent-accept	S2	C1	arity/list/addressing
311	silent-accept	S2	C2	register kind
312	silent-accept	S2	C1	arity/list/addressing
313	silent-accept	S2	C1	arity/list/addressing
314	silent-accept	S2	C2	register kind
315	silent-accept	S2	C1	arity/list/addressing
316	silent-accept	S2	C2	register kind
317	silent-accept	S2	C1	arity/list/addressing
318	silent-accept	S2	C4	sp/zr operand + register-slot error
319	silent-accept	S2	C3	width/arrangement mismatch
320	warning-class-CU	S4	C7	missing CU warning
321	silent-accept	S2	C3	width/arrangement mismatch
322	silent-accept	S2	C3	width/arrangement mismatch
323	silent-accept	S2	C4	sp/zr operand + register-slot error
324	silent-accept	S2	C1	arity/list/addressing
325	silent-accept	S2	C2	register kind
326	reverse	S5	C7	rejects valid syntax
327	silent-accept	S2	C5	immediate range
328	silent-accept	S2	C4	sp/zr operand + register-slot error
329	silent-accept	S2	C3	width/arrangement mismatch
330	silent-accept	S2	C3	width/arrangement mismatch
331	silent-accept	S2	C6	shift/extend validity
332	warning-class-CU	S4	C7	missing CU warning
333	silent-accept	S2	C4	sp/zr operand + register-slot error
334	silent-accept	S2	C1	arity/list/addressing
335	silent-accept	S2	C2	register kind
336	silent-accept	S2	C5	immediate range
337	silent-accept	S2	C4	sp/zr operand + register-slot error
338	silent-accept	S2	C3	width/arrangement mismatch
339	silent-accept	S2	C3	width/arrangement mismatch
340	silent-accept	S2	C4	sp/zr operand + register-slot error
341	silent-accept	S2	C6	shift/extend validity
342	silent-accept	S2	C1	arity/list/addressing
343	silent-accept	S2	C2	register kind
344	differential	S1	C5	differential: valid input, wrong word (category by root cause)
345	silent-accept	S2	C3	width/arrangement mismatch
346	silent-accept	S2	C6	shift/extend validity
347	silent-accept	S2	C4	sp/zr operand + register-slot error
348	silent-accept	S2	C1	arity/list/addressing
349	silent-accept	S2	C2	register kind
350	silent-accept	S2	C4	sp/zr operand + register-slot error
351	silent-accept	S2	C3	width/arrangement mismatch
352	silent-accept	S2	C4	sp/zr operand + register-slot error
353	silent-accept	S2	C5	immediate range
354	differential	S1	C5	differential: valid input, wrong word (category by root cause)
355	differential	S1	C5	differential: valid input, wrong word (category by root cause)
356	silent-accept	S2	C4	sp/zr operand + register-slot error
357	silent-accept	S2	C1	arity/list/addressing
358	differential	S1	C5	differential: valid input, wrong word (category by root cause)
359	silent-accept	S2	C3	width/arrangement mismatch
360	silent-accept	S2	C5	immediate range
361	differential	S1	C5	differential: valid input, wrong word (category by root cause)
362	silent-accept	S2	C4	sp/zr operand + register-slot error
363	silent-accept	S2	C2	register kind
364	silent-accept	S2	C1	arity/list/addressing
365	silent-accept	S2	C1	arity/list/addressing
366	differential	S1	C5	differential: valid input, wrong word (category by root cause)
367	silent-accept	S2	C3	width/arrangement mismatch
368	silent-accept	S2	C1	arity/list/addressing
369	silent-accept	S2	C3	width/arrangement mismatch
370	silent-accept	S2	C4	sp/zr operand + register-slot error
371	silent-accept	S2	C3	width/arrangement mismatch
372	silent-accept	S2	C2	register kind
373	silent-accept	S2	C1	arity/list/addressing
374	silent-accept	S2	C3	width/arrangement mismatch
